state,session.year_start,bill_number,description,status,url,Type, , , , , , , , , , , , , , , , , , 
AL,2013,SB429,"Religious expression in schools, authorized, Alabama Student Religious Liberties Act",Intro,https://legiscan.com/AL/bill/SB429/2013,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
AL,2014,HB281,"Religious expression in schools, authorized, Alabama Student Religious Liberties Act",Intro,https://legiscan.com/AL/bill/HB281/2014,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
AL,2015,HB491,"Health care providers authorized to decline to perform services that violate their consciences, exceptions, Health Care Rights of Conscience Act",Intro,https://legiscan.com/AL/bill/HB491/2015,Healthcare,,,,,,,,,,,,,,,,,,
AL,2017,SB185,"Health care providers, authorized to decline to perform services that violate their consciences, exceptions, Health Care Rights of Conscience Act",Intro,https://legiscan.com/AL/bill/SB185/2017,Healthcare,,,,,,,,,,,,,,,,,,
AL,2016,HB130,"Marriages, persons authorized to solemnize marriage not required to perform solemnize marriage, Sec. 30-1-7 am'd.",Intro,https://legiscan.com/AL/bill/HB130/2016,Marriage,,,,,,,,,,,,,,,,,,
AL,2016,HB554,"Public property, national motto, In God We Trust, authorized to display",Intro,https://legiscan.com/AL/bill/HB554/2016,National Motto Display Act,,,,,,,,,,,,,,,,,,
AL,2017,SB380,"Public property, national motto, In God We Trust, authorized to display",Intro,https://legiscan.com/AL/bill/SB380/2017,National Motto Display Act,,,,,,,,,,,,,,,,,,
AL,2018,HB145,"Public property, national motto, In God We Trust, authorized to display",Intro,https://legiscan.com/AL/bill/HB145/2018,National Motto Display Act,,,,,,,,,,,,,,,,,,
AL,2016,HB24,"Child Placing Agency Inclusion Act, state prohibited from discriminating against child care service providers based on religious beliefs, civil remedies",Passed,https://legiscan.com/AL/bill/HB24/2017,Adoption Bill,,,,,,,,,,,,,,,,,,
AL,2017,HB24,"Child Placing Agency Inclusion Act, state prohibited from discriminating against child care service providers based on religious beliefs, civil remedies",Passed,https://legiscan.com/AL/bill/HB24/2017,Adoption Bill,,,,,,,,,,,,,,,,,,
AL,2018,SB181,"Religious freedom provided for, right to worship, display of Ten Commandments on state property and at public schools, authorized, const. amend.",Passed,https://legiscan.com/AL/bill/SB181/2018,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
AR,2017,HB2232,To Create The Government Nondiscrimination Act Of 2017; And Concerning Religious Liberty.,Dead,https://legiscan.com/AR/bill/HB2232/2017,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
AR,2015,HB1273,To Provide For The Voluntary Student Expression Of Religious Viewpoints Of Students In A Public School District.,Dead,https://legiscan.com/AR/bill/HB1273/2015,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
AR,2015,HB1879,"To Permit Private Businesses, Religious Organizations, And Individuals Authorized To Perform Marriages To Exercise Their Right Of Choice When",Dead,https://legiscan.com/AR/bill/HB1879/2015,Marriage,,,,,,,,,,,,,,,,,,
AR,2017,HB2098,To Reenact Certain Provisions Of Arkansas Law To Provide That Marriage Shall Be Only Between A Man And A Woman.,Dead,https://legiscan.com/AR/bill/HB2098/2017,Marriage,,,,,,,,,,,,,,,,,,
AR,2011,HB1917,To Enact The Religious Freedom Restoration Act And To Provide Remedies And Penalties For Violating Or Abusing Religious Protections Under The Act.,Dead,https://legiscan.com/AR/bill/HB1917/2011,Religious Freedom Restoration Act,,,,,,,,,,,,,,,,,,
AR,2013,SB1119,To Enact The Religious Freedom Restoration Act; And To Provide Remedies And Penalties For Violating Or Abusing Religious Protections Under The Act.,Dead,https://legiscan.com/AR/bill/SB1119/2013,Religious Freedom Restoration Act,,,,,,,,,,,,,,,,,,
AR,2015,HB1228,To Enact The Religious Freedom Restoration Act; And To Declare An Emergency.,Dead,https://legiscan.com/AR/bill/HB1228/2015,Religious Freedom Restoration Act,,,,,,,,,,,,,,,,,,
AR,2017,HB1980,"The National Motto, ""In God We Trust"", Display Act.",Passed,https://legiscan.com/AR/bill/HB1980/2017,National Motto Display Act,,,,,,,,,,,,,,,,,,
AZ,2017,HB2401,Health care providers; religious beliefs,Intro,https://legiscan.com/AZ/bill/HB2401/2017,Healthcare,,,,,,,,,,,,,,,,,,
AZ,2017,SB1352,Abortion; religious employers; contraception; repeal,Intro,https://legiscan.com/AZ/bill/SB1352/2017,Healthcare,,,,,,,,,,,,,,,,,,
AZ,2018,HB2227,Abortion; religious employers; contraception; repeal.,Intro,https://legiscan.com/AZ/bill/HB2227/2018,Healthcare,,,,,,,,,,,,,,,,,,
AZ,2010,HB2596,Free exercise of religion,Passed,https://legiscan.com/AZ/bill/HB2596/2010,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
AZ,2012,SB1365,Free exercise of religion; contracts,Passed,https://legiscan.com/AZ/bill/SB1365/2012,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
AZ,2018,SB1289,Schools; national motto; state motto,Passed,https://legiscan.com/AZ/bill/SB1289/2018,National Motto Display Act,,,,,,,,,,,,,,,,,,
CA,2015,AB1212,"An act to add Chapter 5.3 (commencing with Section 66330) to Part 40 of Division 5 of Title 3 of the Education Code, relating to postsecondary education.",Dead,https://legiscan.com/CA/bill/AB1212/2015,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
CA,2016,SB1146,"An act to add Sections 66290.1 and 66290.2 to the Education Code, relating to discrimination.",Passed,https://legiscan.com/CA/bill/SB1146/2015,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
CO,2017,SB283,Concerning a clarification of the distinction between discrimination and the fundamental right to disagree in the law regarding discrimination in places of public accommodation.,Dead,https://legiscan.com/CO/bill/SB283/2017,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
CO,2018,HB1206,"Concerning the establishment of the ""Live and Let Live Act"" in Colorado.",Dead,https://legiscan.com/CO/bill/HB1206/2018,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
CO,2019,HB1140,"Concerning the establishment of the ""Live and Let Live Act"" in Colorado.",Dead,https://legiscan.com/CO/bill/HB1140/2019,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
CO,2017,HB1013,Concerning a person's free exercise of religion.,Dead,https://legiscan.com/CO/bill/HB1013/2017,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
CO,2015,HB1037,Religious Freedom Student Groups Higher Ed,Dead,https://legiscan.com/CO/bill/HB1037/2015,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
CO,2016,HB1123,Religious Freedom Of Certain Religious Persons,Dead,https://legiscan.com/CO/bill/HB1123/2016,Marriage,,,,,,,,,,,,,,,,,,
CO,2019,HB1140,"Concerning the establishment of the ""Live and Let Live Act"" in Colorado.",Failed,https://legiscan.com/CO/bill/HB1140/2019,Adoption Bill,,,,,,,,,,,,,,,,,,
CO,2016,HB1180,Free Exercise Of Religion,Failed,https://legiscan.com/CO/bill/HB1180/2016,Religious Freedom Restoration Act,,,,,,,,,,,,,,,,,,
CO,2018,SB241,"Concerning the establishment of the ""Colorado Children First Act"" in Colorado.",Intro,https://legiscan.com/CO/bill/SB241/2018,Adoption Bill,,,,,,,,,,,,,,,,,,
CO,2010,SB089,Public Schools Religious Bill Of Rights,Intro,https://legiscan.com/CO/bill/SB089/2010,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
CO,2016,HR1005,CO State Motto Day,Intro,https://legiscan.com/CO/bill/HR1005/2016,National Motto Display Act,,,,,,,,,,,,,,,,,,
CT,2019,SB00440,To prohibit an employer from coercing employees into attending or participating in meetings sponsored by the employer concerning the employer's views on political or religious matters.,Intro,https://legiscan.com/CT/bill/SB00440/2019,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
DE,2016,HB366,"This bill endeavors to reconcile patients’ rights to know all their health care options with the desire of some health care providers to not provide certain care based on religious or philosophical beliefs. This act balances the religious liberty of health care providers with the basic health care rights of their patients. This act requires that any health care provider who uses religious beliefs to determine patient care instead of standard medical guidelines and practices, subsequently resulting in any health care options being omitted or favored based on these religious beliefs, to inform patients in writing of health care services that are not available to the patients through this particular provider. Patients must provide signed consent acknowledging they have received this information. Additionally, this act requires health care providers who use religious beliefs to determine patient care to inform health insurance companies of specific health care options that are not provided; health insurance companies will share that information with their enrollees and insured participants. The bill also requires disclosure to state and federal agencies involved with health care administration, and a subsequent relay of that information by state agencies to affected clients.",Dead,https://legiscan.com/DE/bill/HB366/2015,Healthcare,,,,,,,,,,,,,,,,,,
DE,2015,SCR86,"This Resolution commemorates July 30, 2016 as the 60th Anniversary of â€œIn God We Trustâ€ as the official motto of the United States.",Dead,https://legiscan.com/DE/bill/SCR86/2015,National Motto Display Act,,,,,,,,,,,,,,,,,,
FL,2015,H7111,Prohibits specified actions from being taken against private child-placing agency that refuses to place child or be involved in placement of child or facilitate licensure of foster home which would violate agency's written religious or moral convictions or policies; provides that such refusal does not provide basis for claim for injunctive relief or compensatory or punitive damages.,Dead,https://legiscan.com/FL/bill/H7111/2015,Adoption Bill,,,,,,,,,,,,,,,,,,
FL,2018,H0871,"Designates act ""Free Enterprise Protection Act""; prohibits certain discriminatory actions by governmental entities against business entities.",Dead,https://legiscan.com/FL/bill/H0871/2018,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
FL,2012,H0317,Authorizes district school boards to adopt resolutions that allow prayers of invocation or benediction at secondary school events.,Dead,https://legiscan.com/FL/bill/H0317/2012,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
FL,2013,S1592,"Providing that public school students have certain rights regarding the expression of religious beliefs; specifying such rights, etc.",Dead,https://legiscan.com/FL/bill/S1592/2013,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
FL,2016,H401,"Provides immunity from liability for health care facility, health care provider, person, closely held organization, religious institution, business owned or operated by religious institution, or private child-placing agency that refuses to perform certain actions that would be contrary to religious or moral convictions or policies.",Dead,https://legiscan.com/FL/bill/H0401/2016,Healthcare,,,,,,,,,,,,,,,,,,
FL,2016,SB110,"Providing that churches or religious organizations, related organizations, or certain individuals may not be required to solemnize any marriage or provide services, accommodations, facilities, goods, or privileges for related purposes if such action would violate a sincerely held religious belief; prohibiting certain legal actions, penalties, or governmental sanctions against such individuals or entities, etc.",Dead,https://legiscan.com/FL/bill/S0110/2016,Marriage,,,,,,,,,,,,,,,,,,
FL,2018,H0839,Requires each district school board to adopt rules for display of official state motto in specified places.,Dead,https://legiscan.com/FL/bill/H0839/2018,National Motto Display Act,,,,,,,,,,,,,,,,,,
FL,2018,S1158,"Requiring each district school board to adopt rules for the display of the official state motto in specified places, etc.",Dead,https://legiscan.com/FL/bill/S1158/2018,National Motto Display Act,,,,,,,,,,,,,,,,,,
FL,2010,H0231,Revises provisions relating to schedule for administering comprehensive statewide assessments to provide exception with respect to certain religious holidays.,Dead,https://legiscan.com/FL/bill/H0231/2010,Religious Freedom Day,,,,,,,,,,,,,,,,,,
FL,2016,H401,"Provides immunity from liability for health care facility, health care provider, person, closely held organization, religious institution, business owned or operated by religious institution, or private child-placing agency that refuses to perform certain actions that would be contrary to religious or moral convictions or policies.",Failed,https://legiscan.com/FL/bill/H0401/2016,Adoption Bill,,,,,,,,,,,,,,,,,,
FL,2018,S1514,"Requiring the Department of Children and Families to establish a certain exemption process and to adopt rules and procedures for the documentation necessary for exempting household members who have disabilities from being fingerprinted before a child is placed in the home; requiring the department to take all the necessary steps to recover financial assistance provided to nonrelative caregivers under certain circumstances; authorizing the court to make certain determinations regarding placement of a child with a guardian, etc.",Failed,https://legiscan.com/FL/bill/S1514/2018,Adoption Bill,,,,,,,,,,,,,,,,,,
FL,2019,H0195,"Requires each school district to offer specified courses relating to religion, Hebrew Scriptures, & Bible to certain students as elective courses; provides course requirements.",Intro,https://legiscan.com/FL/bill/H0195/2019,Bible Literacy Act,,,,,,,,,,,,,,,,,,
FL,2011,H0309,Authorizes district school boards to adopt resolutions that allow prayers of invocation or benediction at secondary school events.,Intro,https://legiscan.com/FL/bill/H0309/2011,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
FL,2011,S0700,Authorizes district school boards to adopt resolutions that allow prayers of invocation or benediction at secondary school events. Provides legislative intent. Provides for severability.,Intro,https://legiscan.com/FL/bill/S0700/2011,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
FL,2017,H0303,Authorizes public school students & school personnel to express religious viewpoints & engage in certain religious activities without discrimination; provides for enforcement of such rights under Religious Freedom Restoration Act of 1998.,Intro,https://legiscan.com/FL/bill/H0303/2017,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
FL,2017,S0436,"Citing this act as the ""Florida Student and School Personnel Religious Liberties Act""; prohibiting a school district from discriminating against students, parents, or school personnel on the basis of religious viewpoints or expression; prohibiting penalty or reward for a student's religious expression in coursework, artwork, or other specified assignments; requiring a school district to comply with the federal requirements in Title VII of the Civil Rights Act of 1964, etc.",Passed,https://legiscan.com/FL/bill/S0436/2017,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
FL,2016,HB43,"Provides that churches or religious organizations, related organizations, or certain individuals may not be required to solemnize any marriage or provide services, accommodations, facilities, goods, or privileges for related purposes if such action would violate sincerely held religious belief; prohibits certain legal actions, penalties, or governmental sanctions against such individuals or entities.",Passed,https://legiscan.com/FL/bill/H0043/2016,Marriage,,,,,,,,,,,,,,,,,,
GA,2015,SR388,"A RESOLUTION proposing an amendment to the Constitution, in a manner consistent with the United States Constitution, so as to prevent discrimination in the public funding of social services by allowing religious or faith based organizations to receive public aid, directly or indirectly, for the provision of such services; to provide for the submission of this amendment for ratification or rejection; and for other purposes.",Dead,https://legiscan.com/GA/bill/SR388/2015,Adoption Bill,,,,,,,,,,,,,,,,,,
GA,2018,SB375,"A BILL to be entitled an Act to amend Article 1 of Chapter 5 of Title 49 of the Official Code of Georgia Annotated, relating to children and youth services, so as to allow a child-placing agency to decline to accept a referral from the department and decline to perform services not referred under a contract with the department based on the child-placing agency's sincerely held religious beliefs; to prevent the department from discriminating against or causing any adverse action against a child-placing agency based on its sincerely held religious beliefs; to provide for assertion of such rights; to provide for definitions; to provide for a short title; to provide for legislative findings; to provide for related matters; to repeal conflicting laws; and for other purposes.",Dead,https://legiscan.com/GA/bill/SB375/2017,Adoption Bill,,,,,,,,,,,,,,,,,,
GA,2015,HB218,"A BILL to be entitled an Act to amend Title 50 of the Official Code of Georgia Annotated, relating to state government, so as to provide for the preservation of religious freedom; to provide for the granting of relief; to provide for definitions; to provide for a short title; to provide for findings; to provide for an effective date; to repeal conflicting laws; and for other purposes.",Dead,https://legiscan.com/GA/bill/HB218/2015,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
GA,2017,HB471,"A BILL to be entitled an Act to amend Article 2 of Chapter 3 of Title 20 of the Official Code of Georgia Annotated, relating to the board of regents and university system, so as to provide for the establishment of free speech policies for institutions of the university system; to prohibit the mandatory payment of certain student activity fees; to provide for a cause of action and remedies; to provide for related matters; to repeal conflicting laws; and for other purposes.",Dead,https://legiscan.com/GA/bill/HB471/2017,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
GA,2015,SB129,"A BILL to be entitled an Act to amend Title 50 of the Official Code of Georgia Annotated, relating to state government, so as to provide for the preservation of religious freedom; to provide for legislative findings; to provide for definitions; to provide for the granting of relief; to provide for a short title; to provide for an effective date; to repeal conflicting laws; and for other purposes.",Dead,https://legiscan.com/GA/bill/SB129/2015,Religious Freedom Restoration Act,,,,,,,,,,,,,,,,,,
GA,2016,HB837,"A BILL to be entitled an Act to amend Title 50 of the Official Code of Georgia Annotated, relating to state government, so as to provide for the preservation of religious freedom; to provide for the granting of relief; to provide for waiver of sovereign immunity under certain circumstances; to provide for definitions; to provide for a short title; to provide for related matters; to provide for an effective date and applicability; to repeal conflicting laws; and for other purposes.",Dead,https://legiscan.com/GA/bill/HB837/2015,Religious Freedom Restoration Act,,,,,,,,,,,,,,,,,,
GA,2018,SB233,"A BILL to be entitled an Act to amend Title 50 of the Official Code of Georgia Annotated, relating to state government, so as to provide for the preservation of religious freedom; to provide for related matters; to provide for an effective date and applicability; to repeal conflicting laws; and for other purposes.",Dead,https://legiscan.com/GA/bill/SB233/2017,Religious Freedom Restoration Act,,,,,,,,,,,,,,,,,,
GA,2019,SB221,"A BILL to be entitled an Act to amend Title 50 of the Official Code of Georgia Annotated, relating to state government, so as to provide for the protection of religious freedom; to provide for the granting of relief; to provide for applicability; to provide for definitions; to provide for waiver of sovereign immunity under certain circumstances; to provide for construction; to provide a short title; to repeal conflicting laws; and for other purposes.",Intro,https://legiscan.com/GA/drafts/SB221/2019,Adoption Bill,,,,,,,,,,,,,,,,,,
GA,2015,HB29,"A BILL to be entitled an Act to amend Title 50 of the Official Code of Georgia Annotated, relating to state government, so as to provide for the preservation of religious freedom; to provide for a short title; to provide for findings; to provide for definitions; to provide for penalties; to provide for the granting of relief; to repeal conflicting laws; and for other purposes.",Intro,https://legiscan.com/GA/bill/HB29/2015,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
GA,2013,HB733,"A BILL to be entitled an Act to amend Chapter 2 of Title 20 of the Official Code of Georgia Annotated, relating to elementary and secondary education, so as to enact the ""Georgia Student Religious Liberties Act of 2014""; to provide for voluntary student expression of religious viewpoints in public schools; to provide that local school systems shall allow religious expression in classroom assignments; to provide that local school systems shall provide students with the freedom to organize religious groups and activities and to wear clothing that displays religious messages or symbols; to provide that local school systems shall provide a limited public forum for student speakers; to provide for related matters; to repeal conflicting laws; and for other purposes.",Intro,https://legiscan.com/GA/bill/HB733/2013,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
GA,2013,HB861,"A BILL to be entitled an Act to amend Chapter 2 of Title 20 of the Official Code of Georgia Annotated, relating to elementary and secondary education, so as to enact the ""Georgia Student Religious Liberties Act of 2014""; to provide for voluntary student expression of religious viewpoints in public schools; to provide that local school systems shall allow religious expression in class assignments; to provide that local school systems shall provide students with the freedom to organize religious groups and activities; to provide that local school systems shall provide a limited public forum for student speakers at nongraduation and graduation events; to provide a model policy for voluntary religious expression in public schools; to provide for related matters; to repeal conflicting laws; and for other purposes.",Intro,https://legiscan.com/GA/bill/HB861/2013,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
GA,2015,HB816,"A BILL to be entitled an Act to amend Chapter 2 of Title 20 of the Official Code of Georgia Annotated, relating to elementary and secondary education, so as to enact the ""Georgia Student Religious Liberties Act of 2016""; to provide for voluntary student expression of religious viewpoints in public schools; to provide that local school systems shall allow religious expression in class assignments; to provide that local school systems shall provide students with the freedom to organize religious groups and activities; to provide that local school systems shall provide a limited public forum for student speakers at nongraduation and graduation events; to provide a model policy for voluntary religious expression in public schools; to provide for related matters; to repeal conflicting laws; and for other purposes.",Intro,https://legiscan.com/GA/bill/HB816/2015,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
GA,2015,HB816,"A BILL to be entitled an Act to amend Chapter 2 of Title 20 of the Official Code of Georgia Annotated, relating to elementary and secondary education, so as to enact the ""Georgia Student Religious Liberties Act of 2016""; to provide for voluntary student expression of religious viewpoints in public schools; to provide that local school systems shall allow religious expression in class assignments; to provide that local school systems shall provide students with the freedom to organize religious groups and activities; to provide that local school systems shall provide a limited public forum for student speakers at nongraduation and graduation events; to provide a model policy for voluntary religious expression in public schools; to provide for related matters; to repeal conflicting laws; and for other purposes.",Intro,https://legiscan.com/GA/bill/HB816/2015,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
GA,2017,HB922,"A BILL to be entitled an Act to amend Chapter 2 of Title 20 of the O.C.G.A., relating to elementary and secondary education, so as to provide for freedom of religious speech for students and faculty members in public schools; to provide for student protections in student expression, class assignments, organization of religious groups and activities, and limited public forums; to provide for model policies by each local school system on student expression; to provide for freedom of religious expression by faculty and employees of public schools while fulfilling the duties of their jobs; to provide for statutory construction; to provide for related matters; to provide for a short title; to provide for legislative findings; to provide for applicability; to repeal conflicting laws; and for other purposes.",Intro,https://legiscan.com/GA/bill/HB922/2017,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
GA,2017,SB361,"A BILL to be entitled an Act to amend Chapter 2 of Title 20 of the O.C.G.A, relating to elementary and secondary education, so as to provide for freedom of religious speech for students and faculty members in public schools; to provide for student protections in student expression, class assignments, organization of religious groups and activities, and limited public forums; to provide for model policies by each local school system on student expression; to provide for freedom of religious expression by faculty and employees of public schools while fulfilling the duties of their jobs; to provide for statutory construction; to provide for related matters; to provide for a short title; to provide for legislative findings; to provide for applicability; to repeal conflicting laws; and for other purposes.",Intro,https://legiscan.com/GA/bill/SB361/2017,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
GA,2019,HB53,"A BILL to be entitled an Act to amend Chapter 2 of Title 20 of the O.C.G.A., relating to elementary and secondary education, so as to provide for freedom of religious speech for students and faculty members in public schools; to provide for student protections in student expression, class assignments, organization of religious groups and activities, and limited public forums; to provide for model policies by each local school system on student expression; to provide for freedom of religious expression by faculty and employees of public schools while fulfilling the duties of their jobs; to provide for statutory construction; to provide for related matters; to repeal conflicting laws; and for other purposes.",Intro,https://legiscan.com/GA/bill/HB53/2019,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
GA,2015,SB89,"A BILL to be entitled an Act to amend Article 19 of Chapter 2 of Title 20 of the Official Code of Georgia Annotated, relating to textbooks for elementary and secondary education, so as to require instructional materials and content to be in digital or electronic format after a certain date; to require local boards of education to provide wireless electronic devices for students to access instructional materials and content; to revise provisions for purposes of conformity; to provide for a short title; to provide for an effective date; to provide for related matters; to repeal conflicting laws; and for other purposes.",Passed,https://legiscan.com/GA/bill/SB89/2015,Bible Literacy Act,,,,,,,,,,,,,,,,,,
GA,2015,SB309,"A BILL to be entitled an Act to amend Part 14 of Article 6 of Chapter 2 of Title 20 of the Official Code of Georgia Annotated, relating to certain programs and activities under the ""Quality Basic Education Act,"" so as to provide that high schools that receive state funding cannot participate in an athletic association which prohibits religious expression on the clothing of student athletes; to provide that high schools that receive state funding cannot participate in an athletic association which prohibits member schools from organizing and playing scrimmage matches, games, or other athletic competitions with nonmember schools; to provide for related matters; to repeal conflicting laws; and for other purposes.",Passed,https://legiscan.com/GA/bill/SB309/2015,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
GA,2018,SB339,"A BILL to be entitled an Act to amend Article 2 of Chapter 3 of Title 20 of the Official Code of Georgia Annotated, relating to the board of regents and university system, so as to provide for the establishment of free speech policies for institutions of the university system; to provide for a cause of action and remedies; to provide for related matters; to repeal conflicting laws; and for other purposes.",Passed,https://legiscan.com/GA/bill/SB339/2017,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
GA,2015,HB870,"A BILL to be entitled an Act to amend Part 14 of Article 6 of Chapter 2 of Title 20 of the Official Code of Georgia Annotated, relating to certain programs and activities under the ""Quality Basic Education Act,"" so as to provide that high schools that receive state funding cannot participate in an athletic association which prohibits religious expression on the clothing of student athletes; to provide that high schools that receive state funding cannot participate in an athletic association which prohibits member schools from organizing and playing scrimmage matches, games, or other athletic competitions with nonmember schools; to provide for related matters; to repeal conflicting laws; and for other purposes.",Passed,https://legiscan.com/GA/bill/HB870/2015,Free Exercise of Religion,,,,,,,,,,,,,,,,,,
GA,2015,HB757,"A BILL to be entitled an Act to protect religious freedoms; to amend Chapter 3 of Title 19 of the Official Code of Georgia Annotated, relating to marriage generally, so as to provide that religious officials shall not be required to perform marriage ceremonies in violation of their legal right to free exercise of religion; to amend Chapter 1 of Title 10 of the Official Code of Georgia Annotated, relating to selling and other trade practices, so as to change certain provisions relating to days of rest for employees of business and industry; to protect property owners which are religious institutions against infringement of religious freedom; to define a term; to provide an effective date; to repeal conflicting laws; and for other purposes.",Vetoed,https://legiscan.com/GA/bill/HB757/2015,Marriage,,,,,,,,,,,,,,,,,,
GA,2016,HB757,"A BILL to be entitled an Act to protect religious freedoms; to amend Chapter 3 of Title 19 of the Official Code of Georgia Annotated, relating to marriage generally, so as to provide that religious officials shall not be required to perform marriage ceremonies in violation of their legal right to free exercise of religion; to amend Chapter 1 of Title 10 of the Official Code of Georgia Annotated, relating to selling and other trade practices, so as to change certain provisions relating to days of rest for employees of business and industry; to protect property owners which are religious institutions against infringement of religious freedom; to define a term; to provide an effective date; to repeal conflicting laws; and for other purposes.",Vetoed,https://legiscan.com/GA/bill/HB757/2015,Religious Freedom Restoration Act,,,,,,,,,,,,,,,,,,
